"study_alias","study_desc","nct_number"
I8F-MC-GPHM,Weight Loss Maintenance after Intensive Lifestyle Lead-in,"04657016"
I3Y-MC-JPCW,Ph III - Abemaciclib - Adjuvant,"04752332"
I6T-MC-AMBT,Miri Reformulation PK (BE) HV,"05515601"
I5T-MC-AACQ,"Multi-center, randomized, double-blind phase 3b study in adults with early symptomatic Alzheimer's disease","05738486"
J1I-MC-GZBM,CWM3 - High-Risk Obesity Pts Eligible for Bariatric Surgery,"05882045"
F3Z-MC-IORW,OUS Pen Platform Clinical Trial #2,"05893797"
I8F-MC-GPIT,High Dose Tirzepatide,"06037252"
J2P-MC-LXBD,Phase 2b evaluation of LY3556050 in DPNP,"06074562"
J2A-MC-GZGW,Add-on to basal insulin,"06109311"
I7S-MC-HBEO,Phase 2b study to evaluate the efficacy and safety of mevidalen in patients with mild to moderate AD,"06538116"
J3E-MC-EZDC,Clinical Trial (Phase 2b),"06598631"
I1F-MC-RHCG,EMA Pediatric PsA Regulatory Commitment Study,NA
I3Y-MC-JPCE,Ph 1b - Abemaciclib + I/O agent - NSCLC,NCT02779751
I3Y-MC-JPCF,MONARCH E_Ph III - Abemaciclib - Adj High Risk Breast - HR+,NCT03155997
I3Y-MC-JPCS,Ph1b - Chemo + Abema – Pediatric Solid Tumors,NCT04238819
J4B-MC-OKAA,PRV-FTD-101; Ph 1/11 PR006A FTD,NCT04408625
I5T-MC-AACH,Open Label N3pG1 for I5T-MC-AACG Placebo Completers,NCT04640077
I8F-MC-GPHL,Weight Management in T2DM,NCT04657003
I8F-MC-GPHN,Randomized Withdrawal,NCT04660643
I6T-MC-AMAZ,"Peds, OLE for UC and CD",NCT04844606
I8F-MC-GPID,Tirzepatide vs placebo in obesity-related HFpEF,NCT04847557
I4V-MC-KHAB,Baricitinib in Children with COVID-19,NCT05074420
I8F-MC-GPGV,Pediatric Study,NCT05260021
J2T-MC-KGBO,Open Label in moderate to severe AD prev treated with Dupi,NCT05369403
J2T-MC-KGBP,Open Label in mod to severe AD in pts with skin of color,NCT05372419
I8H-MC-BDCY,BIF Ph3 MDI T1DM 12 month vs Degludec,NCT05463744
J3Z-MC-OJAE,PRV-GD-101; Ph 1/11 PR001 GD,NCT05487599
I5T-MC-AACO,Donanemab IMCT + EU,NCT05508789
I6T-MC-AMAY,Peds Phase 3 CD,NCT05509777
J1A-MC-KDAF,Phase 2b Rheumatoid Arthritis study,NCT05516758
I8F-MC-GPIJ,Morbidity and Mortality in Obesity,NCT05556512
I8F-MC-GPIH,Switch from GLP-1 RA to TZP,NCT05564039
J3E-MC-EZDB,Ph2 study for the treatment of heart failure,NCT05592275
